W 10 00 02 07 02
W 10 00 02 0B 00
R 10 00 03 00 0B 00
W 80 00 04 05 01 00 00
W 80 00 01 07
W 80 00 03 0D 00 00
R 80 00 05 08 00 00 00 14
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R C0 00 01 05
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 00 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 10 00 02 07 02
W 10 00 02 0B 00
R 10 00 03 00 0B 00
W 80 00 04 05 01 00 00
W 80 00 01 07
W 80 00 03 0D 00 00
R 80 00 05 08 00 00 00 FA
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
R 80 00 01 12
W 80 00 08 12 02 00 00 00 00 00 00
W 80 00 01 11
